,pop,ssp,garden,grw_log,grwvol_m,grw_sd,grw.fitted,grw.hat,grw.fixed,grw.mu,seed_log,weight,seed.fitted,seed.hat,seed.fixed,seed.mu
AZT1,AZT-1,w,Majors,0.952257704,1.496407865,0.75902258,0.932590401,0.092930516,0.6833133,0.932590401,12.43126896,133.9384,9.618507813,0.348109706,3.410973623,9.618507813
AZW1,AZW-1,w,Majors,0.682072701,1.011217768,0.623038714,0.690975266,0.102512182,0.792528837,0.690975266,8.113540019,73.2268,6.647158314,0.348109706,3.410973623,6.647158314
CAT1,CAT-1,t,Majors,1.319804891,2.562640993,1.503758294,1.325463034,0.173467366,1.361320658,1.325463034,8.935030615,79.11365,8.646143862,0.348116256,8.008594385,8.646143862
CAT2,CAT-2,t,Majors,1.284396435,2.339795217,1.151533838,1.273104599,0.092879332,1.129984007,1.273104599,10.86828588,118.68225,9.976560186,0.348116256,8.008594385,9.976560186
COT1,COT-1,t,Majors,1.521870491,3.20469992,1.686976419,1.485083745,0.092902014,1.018822907,1.485083745,17.6294063,429.8868,14.62938857,0.348116256,8.008594385,14.62938857
COW1,COW-1,w,Majors,0.721689088,1.055131317,0.595499386,0.698900646,0.092912039,0.410064066,0.698900646,9.292360877,73.51535,7.458392371,0.348109706,3.410973623,7.458392371
COW2,COW-2,w,Majors,0.508886868,0.724925237,0.52585523,0.504653793,0.092870561,0.451000852,0.504653793,9.451198165,83.66575,7.567700089,0.348109706,3.410973623,7.567700089
IDT1,IDT-1,t,Majors,1.002765404,1.879854924,1.263365492,1.018563405,0.092823076,1.218798267,1.018563405,11.79762062,138.7955,10.61610434,0.348116256,8.008594385,10.61610434
IDT2,IDT-2,t,Majors,0.890160822,1.391671444,0.722605549,0.913411936,0.092819667,1.208112744,0.913411936,8.753253568,124.3297,8.580493948,0.258230876,8.008594385,8.580493948
IDT3,IDT-3,t,Majors,0.906811154,1.417017564,0.757302486,0.913221969,0.102498904,0.986351588,0.913221969,11.84097132,208.5337,10.64593717,0.348116256,8.008594385,10.64593717
