pop,ssp,ploidy,type,family,garden,year,grwvol_m,MAT ,MWMT ,MCMT ,TD ,MAP ,MSP ,AHM ,SHM ,DD0 ,DD5 ,DDL18 ,DDG18 ,NFFD ,bFFP ,eFFP ,FFP ,PAS ,EMT ,EXT ,MAR ,Eref ,CMD ,RH ,PPT_wt ,PPT_sp ,PPT_sm ,PPT_at ,DD0_wt ,DD5_sm 
AZT-1,wyomingensis,4x,t4x,AZT-1-10,Ephraim,y12,na,9.9,21.8,-1,22.8,340,137,58.4,159.6,239,2393,3259,304,198,142,280,138,30,-32,38.4,18.2,1150,870,48,90,75,95,80,196,1398
AZW-1,wyomingensis,4x,t4x,AZW-1-9,Ephraim,y11,na,9.9,21.2,-0.6,21.8,291,146,68.4,145.5,222,2367,3227,282,191,148,279,131,19,-32.7,39,18.4,1208,938,45,64,48,103,76,182,1367
AZW-1,wyomingensis,4x,t4x,AZW-1-9,Ephraim,y12,na,9.9,21.2,-0.6,21.8,291,146,68.4,145.5,222,2367,3227,282,191,148,279,131,19,-32.7,39,18.4,1208,938,45,64,48,103,76,182,1367
CAT-1,tridentata,2x,t2x,CAT-1-4,Ephraim,y12,na,10,22,-0.7,22.7,221,64,90.3,342.4,223,2394,3224,305,202,140,271,131,23,-30.7,41.6,16.5,1112,948,48,81,51,33,56,183,1400
CAT-1,tridentata,2x,t2x,CAT-1-5,Ephraim,y12,na,10,22,-0.7,22.7,221,64,90.3,342.4,223,2394,3224,305,202,140,271,131,23,-30.7,41.6,16.5,1112,948,48,81,51,33,56,183,1400
CAT-2,tridentata,2x,t2x,CAT-2-2,Ephraim,y12,na,8.5,19.8,-1,20.8,289,67,64.2,294.7,267,1992,3605,164,174,152,262,110,46,-33.3,39.2,19.4,1090,887,45,124,65,39,60,206,1214
CAT-2,tridentata,2x,t2x,CAT-2-6,Ephraim,y12,na,8.5,19.8,-1,20.8,289,67,64.2,294.7,267,1992,3605,164,174,152,262,110,46,-33.3,39.2,19.4,1090,887,45,124,65,39,60,206,1214
CAT-2,tridentata,2x,t2x,CAT-2-9,Ephraim,y12,na,8.5,19.8,-1,20.8,289,67,64.2,294.7,267,1992,3605,164,174,152,262,110,46,-33.3,39.2,19.4,1090,887,45,124,65,39,60,206,1214
COW-1,wyomingensis,4x,w4x,COW-1-10,Ephraim,y11,na,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
COW-1,wyomingensis,4x,w4x,COW-1-2,Ephraim,y11,na,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
