,pop,type,garden,death,total,surv,propdead,MAT ,MWMT ,MCMT ,TD ,MAP ,MSP ,AHM ,SHM ,DD0 ,DD5 ,DDL18 ,DDG18 ,NFFD ,bFFP ,eFFP ,FFP ,PAS ,EMT ,EXT ,MAR ,Eref ,CMD ,RH ,PPT_wt ,PPT_sp ,PPT_sm ,PPT_at ,DD0_wt ,DD5_sm ,PRATIO
1,AZT1,T4x,Ephraim,7,10,3,0.7,9.9,21.8,-1,22.8,340,137,58.4,159.6,239,2393,3259,304,198,142,280,138,30,-32,38.4,18.2,1150,870,48,90,75,95,80,196,1398,40.29
2,AZT1,T4x,Majors,0,11,11,0,9.9,21.8,-1,22.8,340,137,58.4,159.6,239,2393,3259,304,198,142,280,138,30,-32,38.4,18.2,1150,870,48,90,75,95,80,196,1398,40.29
4,AZW1,T4x,Ephraim,7,11,4,0.636363636,9.9,21.2,-0.6,21.8,291,146,68.4,145.5,222,2367,3227,282,191,148,279,131,19,-32.7,39,18.4,1208,938,45,64,48,103,76,182,1367,50.17
5,AZW1,T4x,Majors,1,10,9,0.1,9.9,21.2,-0.6,21.8,291,146,68.4,145.5,222,2367,3227,282,191,148,279,131,19,-32.7,39,18.4,1208,938,45,64,48,103,76,182,1367,50.17
7,CAT1,T2x,Majors,0,5,5,0,10,22,-0.7,22.7,221,64,90.3,342.4,223,2394,3224,305,202,140,271,131,23,-30.7,41.6,16.5,1112,948,48,81,51,33,56,183,1400,28.96
8,CAT1,T2x,Ephraim,4,5,1,0.8,10,22,-0.7,22.7,221,64,90.3,342.4,223,2394,3224,305,202,140,271,131,23,-30.7,41.6,16.5,1112,948,48,81,51,33,56,183,1400,28.96
11,CAT2,T2x,Majors,1,9,8,0.111111111,8.5,19.8,-1,20.8,289,67,64.2,294.7,267,1992,3605,164,174,152,262,110,46,-33.3,39.2,19.4,1090,887,45,124,65,39,60,206,1214,23.18
12,CAT2,T2x,Ephraim,10,10,0,1,8.5,19.8,-1,20.8,289,67,64.2,294.7,267,1992,3605,164,174,152,262,110,46,-33.3,39.2,19.4,1090,887,45,124,65,39,60,206,1214,23.18
25,COT1,T2x,Majors,0,9,9,0,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375,42.49
27,COT1,T2x,Ephraim,3,10,7,0.3,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375,42.49
28,COW1,W4x,Ephraim,7,10,3,0.7,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375,42.49
29,COW1,W4x,Majors,1,9,8,0.111111111,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375,42.49
31,COW2,W4x,Ephraim,2,9,7,0.222222222,7.5,21.7,-6.6,28.3,297,134,59,161.8,616,2190,4070,266,177,140,266,125,56,-38.6,39.5,17,1003,757,47,50,85,72,89,518,1363,45.12
32,COW2,W4x,Majors,0,7,7,0,7.5,21.7,-6.6,28.3,297,134,59,161.8,616,2190,4070,266,177,140,266,125,56,-38.6,39.5,17,1003,757,47,50,85,72,89,518,1363,45.12
34,IDT1,T2x,Majors,0,9,9,0,9.9,23.1,-2.4,25.5,265,68,75.4,341.2,285,2492,3310,390,215,129,275,146,38,-29.5,41.5,15.9,1037,851,53,94,71,30,70,243,1488,25.66
35,IDT1,T2x,Ephraim,6,9,3,0.666666667,9.9,23.1,-2.4,25.5,265,68,75.4,341.2,285,2492,3310,390,215,129,275,146,38,-29.5,41.5,15.9,1037,851,53,94,71,30,70,243,1488,25.66
38,IDT2,T2x,Ephraim,6,10,4,0.6,9.9,22.8,-2.3,25.1,279,68,71.1,334,276,2452,3316,371,217,132,277,145,39,-29.1,41.6,15.7,1022,824,54,102,86,30,62,235,1468,24.37
39,IDT2,T2x,Majors,2,10,8,0.2,9.9,22.8,-2.3,25.1,279,68,71.1,334,276,2452,3316,371,217,132,277,145,39,-29.1,41.6,15.7,1022,824,54,102,86,30,62,235,1468,24.37
40,IDT3,T2x,Ephraim,4,9,5,0.444444444,8.1,20.3,-2.5,22.8,377,118,48,172.3,344,1965,3793,199,185,150,266,116,61,-31.1,39.3,16.1,924,669,52,105,114,65,93,273,1247,31.30
41,IDT3,T2x,Majors,3,10,7,0.3,8.1,20.3,-2.5,22.8,377,118,48,172.3,344,1965,3793,199,185,150,266,116,61,-31.1,39.3,16.1,924,669,52,105,114,65,93,273,1247,31.30
52,IDW1,W4x,Ephraim,6,9,3,0.666666667,9.9,23.1,-2.4,25.5,269,68,73.9,337.6,289,2481,3326,387,214,129,275,146,40,-29.6,41.5,16,1035,847,53,96,72,30,71,246,1484,25.28
53,IDW1,W4x,Majors,3,9,6,0.333333333,9.9,23.1,-2.4,25.5,269,68,73.9,337.6,289,2481,3326,387,214,129,275,146,40,-29.6,41.5,16,1035,847,53,96,72,30,71,246,1484,25.28
55,IDW2,W4x,Ephraim,3,3,0,1,9.7,22.6,-2.4,25,303,70,65,321.6,289,2405,3373,354,214,133,275,142,46,-29.4,41.4,15.8,1014,810,54,114,90,31,67,245,1449,23.10
56,IDW2,W4x,Majors,1,4,3,0.25,9.7,22.6,-2.4,25,303,70,65,321.6,289,2405,3373,354,214,133,275,142,46,-29.4,41.4,15.8,1014,810,54,114,90,31,67,245,1449,23.10
58,IDW3,W4x,Majors,2,10,8,0.2,10.2,22.6,-1.7,24.2,271,82,74.4,274.1,243,2497,3192,364,226,125,278,152,28,-27.8,40.8,15.7,1012,808,55,84,79,43,65,208,1455,30.26
59,IDW3,W4x,Ephraim,10,10,0,1,10.2,22.6,-1.7,24.2,271,82,74.4,274.1,243,2497,3192,364,226,125,278,152,28,-27.8,40.8,15.7,1012,808,55,84,79,43,65,208,1455,30.26
